Card#,Title,Artist,URL,Hashed Info,Youtube-Title,Year
70 ,Up Where We Belong,Joe Cocker Jennifer Warnes,https://www.youtube.com/watch?v=bjrOcrisGyI,ec9979dad7e4e985089c6b26b5ffb981ed4c77c6fac1659e364b0af1969c7e17,Up Where We Belong : Joe Cocker & Jennifer Warnes,2003 
71 ,Domino,Jessie J,https://www.youtube.com/watch?v=UJtB55MaoD0,c26cdfa3429fc1eb06d03dbdece36c74f4808189be42cc8f379330dc49c2b460,Jessie J - Domino (Official Video),2011 
72 ,Hold My Hand,Lady Gaga,https://www.youtube.com/watch?v=O2CIAKVTOrc,bd5bd0753859e54aabe6f33dd04f832734af12718a2471fd24df79877cf9bb76,Lady Gaga - Hold My Hand (From “Top Gun: Maverick”) [Official Music Video],2022 
73 ,It's Raining Men,The Weather Girls,https://www.youtube.com/watch?v=R3m6-U89Fxs,22a1a0a066b54c0adaf14d04bb4b3645b6b49c315197cfd77829091b1ed8ecff,The Weather Girls - It's Raining Men (Lyrics),1996 
74 ,Mit 17 hat man noch Träume,Peggy March,https://www.youtube.com/watch?v=VmR0DapFn6U,a9270c7905dffcc8fd06fbcb217979aedfdd737da31c501cf9ee0389b6495e6b,Mit 17 hat man noch Träume,2023 
75 ,Sommernacht in Rom,G.G. Anderson,https://www.youtube.com/watch?v=qJiJ1NuV7ok,ba6303422dddb7b81453c24c1f6cbbb4afa1c92d9419eeca80ab6a2f1e923e51,G.G.Anderson - Sommernacht In Rom,1993 
76 ,Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,Brian Hyland,https://www.youtube.com/watch?v=ICkWjdQuK7Q,d214787da324bacf083d63dae0def71fbc5aa56314366ba55c0d0d205fe97044,Brian Hyland - Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,1961 
77 ,Post Malone (feat. RANI),Sam Feldt,https://www.youtube.com/watch?v=TewoJFN61mI,1b9b42f8822a052f98a32713a790bd5662f48beafe3a2343a97327fb2a6ce0ee,Sam Feldt - Post Malone (feat. RANI) [Official Music Video],2019 
78 ,Nächstes Mal am Ende der Welt,Valerie´s Garten,https://www.youtube.com/watch?v=wmRqLQAnwJ8,d249a7f57d1fd8c599691bb1df97d065e1e01b900a509534ef859ed783869ae1,Nächstes Mal am Ende der Welt,1992 
79 ,More Than This,Roxy Music,https://www.youtube.com/watch?v=kOnde5c7OG8,2720c427a5bbc5971c34562cae8b5ba8cbc9854bf3ca4adbf91d3fe8381f1d93,Roxy Music - More Than This,1982 
80 ,Come On Eileen,Dexys Midnight Runners,https://www.youtube.com/watch?v=6BODDyZRF6A,16e3975ea80b1e0fb6a7c9a8382c8eae7370d9041c7030e26da20f833d07ef34,"Dexys Midnight Runners, Kevin Rowland - Come On Eileen (1982 Version)",1982 
81 ,Heaven Must Be Missing An Angel - Pt. 1,Tavares,https://www.youtube.com/watch?v=76jauBrP2Q8,1406d32bb66abb277cbd91e84fae4e3ef54172bc94edaccb5aee5df301c4fb01,Heaven Must Be Missing An Angel (Pt. 1),1976 
82 ,I Don't Feel Like Dancin,Scissor Sisters,https://www.youtube.com/watch?v=4H5I6y1Qvz0,99c90ca2e8037f1356e2d4875efe9f6fda81a3df3896825060f5a059f126e43f,Scissor Sisters - I Don't Feel Like Dancin',2006 
83 ,Let's Twist Again,Chubby Checker,https://www.youtube.com/watch?v=KxQZQ86jJHg,52f9a7f2510265361636b82bcf6d0f42ae97e50e0af4ac097375d4988c78a69b,Let's Twist Again - Chubby Checker,1961 
84 ,Bamboléo,Gipsy Kings,https://www.youtube.com/watch?v=NhGAQ6fjJxo,597b3b8a7cfc87f641b2fabf3b0cd181299fdb34adf6f0d2691e7bce93a1f1ca,Gipsy Kings - Bamboléo (Audio),1987 
85 ,Herzbeben,Helene Fischer,https://www.youtube.com/watch?v=8ySJJMu8ReY,5f6f25b9db2eac6779768c129205611c0aa67ef6b27ac01ca4d3d04efe3d9f48,Herzbeben,2017 
86 ,I Kissed A Girl,Katy Perry,https://www.youtube.com/watch?v=Qbl1VuGbnHg,a43ab9b6b131371f1fac112dcb18d99e109f32247ea49ae8cb1ad9e91fdc1173,Katy Perry - I Kissed A Girl [HQ],2008 
87 ,Ironic,Alanis Morissette,https://www.youtube.com/watch?v=H4bIXVTsJck,edbbf31f6637a555323e85ce5cf29c1e7df959471f38ac612020b712ef39ae93,Ironic,1995 
88 ,Mercy,Shawn Mendes,https://www.youtube.com/watch?v=TZhuCTXjGHY,1d1f1120cf07d7624f56a4c43038051453a25cd34dfa72dff34ebedfd56fe4d1,Shawn Mendes - Mercy (Lyrics),2017 
89 ,Flying,Nice Little Penguins,https://www.youtube.com/watch?v=iSqguQk55CI,dadb103ca46254b086725a0b13806600dc79cc9a95017bb86e83d38398902008,Flying,1994 
90 ,It's My Party,Lesley Gore,https://www.youtube.com/watch?v=mIsnIt1p978,8d48620c42217bbe6c08465babd79c2d1ebed26d9dd7bc90dd878ab9fbb5c6a7,Lesley Gore - It's my party,1963 
91 ,To All the Girls I've Loved Before,Julio Iglesias,https://www.youtube.com/watch?v=7As9e3uLpV4,60e5daa1ced99f4ebeba49de9ce2f2a12330a7351db8aac5f03ea8cf7bb40492,Julio Iglesias - To All the Girls I've Loved Before (Official Audio),1984 
92 ,Dann küss mich doch,Nicole,https://www.youtube.com/watch?v=STIi47fPnyI,faf1972b938650b089bad18664cc8a1b75f73ba329c59d0cbfa86175e507bd3a,Dann küss mich doch,1992 
93 ,Heaven Is A Place On Earth,Belinda Carlisle,https://www.youtube.com/watch?v=j2F4INQFjEI,2c64e9bd1ab67c2f52a5e1f7a6c39f885c441efb8c0a63bdfa44e2787aba2339,Belinda Carlisle - Heaven Is A Place On Earth (Official HD Music Video),1987 
94 ,All By Myself,Eric Carmen,https://www.youtube.com/watch?v=iN9CjAfo5n0,d27273d21fc428f6836439c5266e9b64e7d878c1063b46732becf84e02c15093,Eric Carmen - All by Myself (Audio),1975 
95 ,I Love Your Smile,Shanice,https://www.youtube.com/watch?v=ysYyCElzB0A,77d4d9700b7158bcf73710e4fa7c54abb5a99d093eb8eb135fc7a481399b53d5,Shanice - I Love Your Smile,1991 
96 ,Summer Son,Texas,https://www.youtube.com/watch?v=7uIFISklvXY,7f2a343d9e070eb4cb8b1e339acf0896d464506ba73e20df8297c1e58f1ccbc3,Texas - Summer Son (Official Video),1999 
97 ,7 Seconds (feat. Neneh Cherry),Youssou N'Dour Neneh Cherry,https://www.youtube.com/watch?v=GbfBML1LHfs,bada51bd080484369fafb13b0b11ca276a4e24525c5a776a53767555be681e28,"Youssou N'Dour & Neneh Cherry - 7 Seconds ft. (Official Video), Full HD (AI Remastered and Upscaled)",1994 
98 ,Perfect Strangers,Jonas Blue JP Cooper,https://www.youtube.com/watch?v=Ey_hgKCCYU4,3a453fc9adce8663548fe0e58bdde3245833398af280b6da309b56aac62e4a7f,Jonas Blue - Perfect Strangers ft. JP Cooper,2018 
